ON_STREAM_HRS,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,Total_Injection_VOL,BORE_OIL_VOL
24.0,66.21553,60.392,27.424,7352.0,4998.0
24.0,69.27777,58.529,25.1,1405.0,5317.0
24.0,65.13956,60.283,27.28,6408.0,5113.0
24.0,63.18433,60.92,28.166,9120.0,4839.0
24.0,68.56318,57.575,24.646,4750.0,5271.0
24.0,80.99091,52.528,19.345,2475.0,5614.0
24.0,67.52922,57.52,24.718,8551.0,4906.0
24.0,65.61035,58.431,25.714,8584.0,4845.0
23.17,54.94723,65.78,33.727,6480.0,4018.0
24.0,64.50499,58.525,25.877,8468.0,4753.0
24.0,65.471,57.693,25.035,8617.0,4790.0
24.0,66.64976,56.618,23.939,8642.0,4814.0
24.0,68.00776,55.713,22.995,8660.0,4856.0
24.0,69.10177,54.918,22.186,10524.0,4871.0
24.0,67.67507,54.652,21.922,12030.0,4883.0
24.0,69.12411,54.625,21.916,12686.0,4842.0
24.0,67.71543,54.663,21.976,14050.0,4860.0
24.0,69.16734,54.802,22.116,13889.0,4861.0
24.0,68.26886,55.063,22.373,13898.0,4814.0
24.0,68.19274,55.043,22.353,13874.0,4813.0
2.48,46.84542,61.977,29.699,3342.0,439.0
20.86,55.12613,63.201,31.736,12629.0,3552.0
23.83,61.36592,60.72,28.173,13441.0,4447.0
24.0,65.69139,57.523,24.843,15921.0,4815.0
24.0,67.30705,56.584,23.844,15871.0,4806.0
24.0,67.723,56.061,23.3,15854.0,4893.0
24.0,64.74121,57.919,25.244,15850.0,4811.0
24.0,63.69264,58.682,26.05,16321.0,4771.0
24.0,62.41749,59.596,26.995,16448.0,4685.0
24.0,62.83735,59.768,27.128,16858.0,4712.0
24.0,62.83598,60.188,27.548,16803.0,4734.0
24.0,62.84241,60.513,27.861,16830.0,4741.0
24.0,62.86171,60.739,28.07,16823.0,4745.0
24.0,62.89483,60.903,28.218,16829.0,5227.0
24.0,62.9077,61.177,28.484,16142.0,5013.0
24.0,62.72837,61.428,28.73,16961.0,5011.0
24.0,62.64841,61.596,28.861,16954.0,5031.0
24.0,62.39298,61.67,28.916,16969.0,5037.0
24.0,58.77508,64.652,32.082,16967.0,4796.0
24.0,58.23547,65.476,32.917,16989.0,4764.0
24.0,59.55904,64.886,32.231,16985.0,4851.0
24.0,60.24002,64.443,31.71,16999.0,4912.0
24.0,60.35382,64.654,31.895,17017.0,4926.0
24.0,60.59892,64.568,31.808,17043.0,4940.0
24.0,63.94534,62.769,29.831,13812.0,5097.0
24.0,67.88406,59.931,26.896,11995.0,5407.0
24.0,67.89739,59.716,26.677,11845.0,5390.0
24.0,69.23057,58.606,25.506,12105.0,5469.0
24.0,69.9521,58.167,25.053,12888.0,5498.0
24.0,70.39383,57.824,24.709,9231.0,5889.0
24.0,71.28654,57.064,23.943,8234.0,5509.0
24.0,72.12178,56.365,23.244,8183.0,5521.0
21.98,57.45767,65.253,33.702,6125.0,3892.0
24.0,68.92041,58.04,25.388,8200.0,5265.0
24.0,71.39343,55.834,23.131,8114.0,5422.0
24.0,71.12014,55.573,22.875,7681.0,5357.0
24.0,71.38611,54.998,22.33,7812.0,5347.0
22.83,62.36388,60.068,27.774,6754.0,4218.0
24.0,70.81818,54.918,22.324,7824.0,4995.0
22.5,61.9154,59.558,27.297,6766.0,4132.0
24.0,65.35384,57.55,25.168,3994.0,4669.0
24.0,73.61629,53.478,20.688,5697.0,4995.0
24.0,85.3303,49.249,16.281,8171.0,5263.0
24.0,85.97281,49.277,16.351,8432.0,5081.0
24.0,86.01115,48.875,15.949,9153.0,5038.0
24.0,85.99326,48.592,15.69,9463.0,5054.0
24.0,85.997,48.357,15.468,9430.0,5123.0
24.0,49.61657,67.242,35.444,9355.0,3422.0
24.0,47.67041,69.4,37.716,9356.0,3345.0
24.0,48.19588,68.611,36.905,9411.0,3394.0
24.0,48.19972,68.679,36.967,9356.0,3400.0
24.0,48.23377,68.901,37.112,9448.0,3234.0
24.0,48.31041,68.97,37.127,9729.0,2864.0
24.0,48.3867,68.913,37.057,10597.0,2727.0
24.0,50.37753,66.92,34.904,10456.0,2724.0
24.0,51.21728,65.785,33.708,10354.0,2794.0
24.0,51.18874,65.71,33.63,10876.0,2789.0
24.0,51.18913,65.864,33.802,10933.0,2775.0
24.0,51.23108,65.869,33.813,10937.0,2766.0
24.0,51.24005,65.804,33.735,10924.0,2762.0
24.0,51.21405,65.82,33.734,10937.0,2747.0
24.0,51.19871,65.903,33.809,10907.0,2746.0
24.0,51.18423,65.696,33.583,9600.0,3415.0
24.0,51.17188,65.699,33.57,9761.0,3404.0
